published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2017-01-11,1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,True,200,1033,10,29,All Levels,2.0,Business Finance,2017-01-11,2017,1,January,206600,1 : 3,170:200
2016-12-07,1028030,Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,True,20,832,34,34,All Levels,1.5,Business Finance,2016-12-07,2016,4,December,16640,1 : 3,1:20
2016-12-18,1018380,Forex Trading Like Banks – Step by Step with Live Examples,https://www.udemy.com/forex-trading-like-banks-step-by-step-with-live-examples/,True,195,677,45,40,All Levels,4.5,Business Finance,2016-12-18,2016,4,December,132015,3 : 7,170:200
2015-08-09,575676,Fundamentals of Investing!,https://www.udemy.com/investment-basics-lets-invest-series/,True,20,3125,54,13,Beginner Level,2.0,Business Finance,2015-08-09,2015,3,August,62500,1 : 3,1:20
2017-02-10,1105216,Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,True,50,1081,6,21,All Levels,1.5,Business Finance,2017-02-10,2017,1,February,54050,1 : 3,20:50
2016-09-07,936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,https://www.udemy.com/tradeforex/,True,200,1645,25,42,All Levels,2.0,Business Finance,2016-09-07,2016,3,September,329000,1 : 3,170:200
2017-02-10,1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,True,200,939,7,19,All Levels,1.5,Business Finance,2017-02-10,2017,1,February,187800,1 : 3,170:200
2015-11-13,584410,The Ultimate Guide to Dividend & Dividend Growth Investing,https://www.udemy.com/investing-learn-how-to-build-a-dividend-portfolio-step-by-step/,True,200,2115,59,88,All Levels,5.5,Business Finance,2015-11-13,2015,4,November,423000,3 : 7,170:200
2016-02-24,597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,https://www.udemy.com/make-consistent-profit-using-pullback-candlestick-strategy/,True,200,521,67,24,All Levels,3.0,Business Finance,2016-02-24,2016,1,February,104200,1 : 3,170:200
2015-02-07,415802,Accounting Standards Basics (Professional Course Level),https://www.udemy.com/basics-of-accounting-standards/,True,20,2222,9,12,All Levels,0.7,Business Finance,2015-02-07,2015,1,February,44440,0 : 1,1:20
